customer_id,customer_name,gender,city,state,signup_date
1,Divij Viswanathan,Male,Hyderabad,Telangana,2023-09-03
2,Ishita Balasubramanian,Female,Chennai,Tamil Nadu,2024-03-15
3,Jayan Chandran,Male,Vijayawada,Andhra Pradesh,2024-05-21
4,Shlok Swamy,Male,Delhi,Maharashtra,2023-08-26
5,Pari Agarwal,Male,Hyderabad,Andhra Pradesh,2024-09-02
6,Nitya Hans,Male,Chennai,Delhi,2022-04-17
7,Azad Sant,Male,Delhi,Tamil Nadu,2022-12-31
8,Umang Shere,Female,Chennai,Maharashtra,2025-02-24
9,Anvi Thakur,Female,Kochi,Kerala,2023-12-13
10,Umang Sethi,Male,Kochi,Kerala,2024-05-11
11,Anya Chakraborty,Male,Vijayawada,Maharashtra,2026-03-24
12,Trisha Krishna,Female,Bangalore,Tamil Nadu,2023-05-12
13,Nirvaan Edwin,Male,Kochi,Karnataka,2021-05-28
14,Vidur Anne,Male,Hyderabad,Maharashtra,2026-01-08
15,Hridaan Sahni,Male,Bangalore,Kerala,2025-02-14
16,Tejas Goswami,Female,Delhi,Karnataka,2025-12-14
17,Amani Manne,Male,Vijayawada,Maharashtra,2022-01-17
18,Nakul Kaur,Male,Mumbai,Andhra Pradesh,2024-03-27
19,Emir Dube,Female,Kochi,Telangana,2025-01-01
20,Tanya Wagle,Female,Delhi,Tamil Nadu,2023-09-03
21,Renee Warrior,Male,Hyderabad,Telangana,2024-09-21
22,Devansh Bajaj,Male,Kochi,Karnataka,2025-06-03
23,Aarush Bhat,Male,Kochi,Tamil Nadu,2024-04-17
24,Rohan Subramanian,Male,Mumbai,Karnataka,2024-12-04
25,Yuvaan Kanda,Female,Vijayawada,Kerala,2022-11-14
26,Myra Bhalla,Female,Chennai,Karnataka,2024-02-08
27,Aarav Keer,Female,Chennai,Telangana,2021-12-09
28,Tarini Bath,Female,Vijayawada,Telangana,2021-07-17
29,Kashvi Guha,Male,Delhi,Telangana,2024-06-23
30,Aradhya Rana,Male,Delhi,Telangana,2023-03-10
31,Indrajit Sarna,Male,Chennai,Maharashtra,2023-10-01
32,Aarush Sengupta,Female,Bangalore,Telangana,2025-11-09
33,Romil Arora,Male,Vijayawada,Karnataka,2023-05-14
34,Inaaya  Thaman,Male,Chennai,Kerala,2023-06-24
35,Anika Bains,Male,Kochi,Karnataka,2021-08-03
36,Zain Mammen,Female,Bangalore,Andhra Pradesh,2022-02-21
37,Nitara Shankar,Male,Delhi,Telangana,2022-12-25
38,Dishani Sandal,Female,Chennai,Telangana,2026-04-22
39,Nirvi Master,Female,Mumbai,Telangana,2024-12-11
40,Taimur Sant,Female,Chennai,Karnataka,2021-08-11
41,Sara Das,Male,Chennai,Telangana,2021-06-23
42,Mehul Sawhney,Female,Vijayawada,Delhi,2022-05-27
43,Jayan Kale,Female,Delhi,Maharashtra,2022-04-01
44,Ira Bhalla,Female,Chennai,Tamil Nadu,2022-07-17
45,Taimur Sekhon,Female,Hyderabad,Kerala,2021-12-28
46,Charvi Chaudhari,Male,Kochi,Andhra Pradesh,2023-11-21
47,Himmat Subramaniam,Male,Vijayawada,Tamil Nadu,2022-04-29
48,Oorja Arora,Female,Delhi,Andhra Pradesh,2022-06-09
49,Mahika Gade,Female,Mumbai,Delhi,2024-06-08
50,Badal Sheth,Female,Delhi,Karnataka,2025-07-28
51,Anvi Din,Male,Vijayawada,Telangana,2026-02-20
52,Gatik Sen,Male,Vijayawada,Delhi,2023-08-13
53,Charvi Dey,Female,Kochi,Telangana,2022-11-06
54,Vardaniya Rana,Female,Hyderabad,Karnataka,2022-07-14
55,Ahana  Kurian,Female,Chennai,Maharashtra,2024-01-29
56,Amani Tandon,Male,Vijayawada,Telangana,2022-06-01
57,Hunar Johal,Female,Delhi,Kerala,2024-12-11
58,Aayush Basak,Male,Delhi,Andhra Pradesh,2025-03-16
59,Trisha Rout,Female,Kochi,Telangana,2022-07-04
60,Eva Hora,Male,Chennai,Karnataka,2022-08-06
61,Manikya Buch,Male,Delhi,Kerala,2022-12-14
62,Anya Das,Male,Delhi,Karnataka,2025-09-27
63,Jayant Ben,Female,Hyderabad,Andhra Pradesh,2026-01-07
64,Divyansh Shroff,Female,Kochi,Kerala,2022-11-21
65,Misha Goyal,Female,Chennai,Andhra Pradesh,2022-07-01
66,Nitara Atwal,Male,Delhi,Andhra Pradesh,2025-06-25
67,Raghav Jhaveri,Male,Vijayawada,Maharashtra,2022-12-18
68,Saksham Sarna,Male,Kochi,Delhi,2024-07-04
69,Abram Sethi,Male,Chennai,Telangana,2025-07-20
70,Saksham Kade,Female,Delhi,Tamil Nadu,2025-08-16
71,Dharmajan Sheth,Female,Delhi,Kerala,2024-08-15
72,Divyansh Chandran,Female,Chennai,Delhi,2021-07-23
73,Riaan Barad,Male,Vijayawada,Karnataka,2024-01-17
74,Riaan Sandhu,Female,Vijayawada,Telangana,2023-10-21
75,Ela Borde,Female,Mumbai,Delhi,2024-01-03
76,Fateh Som,Female,Hyderabad,Tamil Nadu,2022-08-06
77,Urvi Rama,Male,Hyderabad,Karnataka,2023-01-15
78,Aarna Dhar,Male,Delhi,Delhi,2025-12-12
79,Mahika Chawla,Male,Delhi,Tamil Nadu,2025-09-24
80,Bhavin Sinha,Male,Hyderabad,Telangana,2026-02-08
81,Jayant Buch,Male,Chennai,Andhra Pradesh,2023-06-01
82,Yashvi Wadhwa,Male,Kochi,Karnataka,2023-02-02
